"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahamas, The","BHS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80487037","3.92440891","3.81251931","4.01998568","4.04628181","4.03196478","4.30935764","4.49598694","4.86261654","5.1500144","5.25594234","5.32398558","5.3190918","5.68411207","5.64133978","5.244627","5.65515327","6.6036396","5.83890343","5.70484161","7.3983264","6.78537178","7.04287481","6.30260801","",
"Bosnia and Herzegovina","BIH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.96239424","7.5734477","7.39934349","8.28056145","9.06270218","8.82041836","8.88362694","9.25501442","9.48630238","9.0152092","9.01212692","9.1712122","9.4791584","9.43616295","9.4710331","9.24086571","9.13943481","8.81797314","8.76100445","8.92544365","9.70311832","9.55514336","8.71644783","8.9216938","",
"Belarus","BLR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28088045","5.7064805","5.62404203","5.77103186","5.73650646","6.07036304","5.57366323","5.6917243","5.29448891","5.3906498","5.65694332","4.87452745","5.24538946","5.69563103","5.38792181","6.06528044","5.91054153","5.75974846","5.52699471","5.86133814","6.40607214","6.56549978","6.57784128","7.08167362","",
"Belize","BLZ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.93866777","3.45384741","3.55506229","3.5292151","3.41825557","3.43729496","3.54883528","4.05345058","4.51286459","4.50473404","4.47716761","4.52904415","4.34283972","4.42128754","4.87071466","4.65988731","4.77207184","4.62228823","4.75529861","4.81608105","5.33901167","5.04598379","4.21643019","4.14735794","",
"Bermuda","BMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39554119","4.82522202","4.89645052","5.19709635","4.86315727","5.07408142","4.66087532","4.6968894","4.60677242","5.17444515","5.20230532","5.17306805","5.2539444","5.57465124","5.89613628","6.55064964","6.83333063","6.4901948","6.60399437","6.88792992","8.0225811","8.16016769","7.15933084","6.91864729","",
"Brazil","BRA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33457184","8.54963303","8.69686985","8.18899441","8.12491989","8.03539562","8.24952507","8.20182991","8.01128483","8.39480495","7.94516611","7.78819132","7.73637724","7.9766016","8.39644146","8.90929985","9.16901684","9.47125053","9.46475029","9.61449146","9.62326527","9.63646507","9.38739491","9.73092747","",
"Barbados","BRB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.92612553","5.10418987","5.41338634","6.17312717","6.7109499","6.14326382","5.90468073","5.36863089","5.73821974","6.30137348","5.97029495","6.05910301","6.85218811","6.48274279","6.09732294","6.09170628","6.19479513","6.0020504","5.83037996","5.67476797","6.7272892","7.4427762","5.8744669","5.40463829","",
"Brunei Darussalam","BRN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5479064","2.5465107","2.53447938","2.60260582","2.55193377","2.23386168","1.9072516","1.94145441","1.87612021","2.39306617","2.27826095","1.86409724","1.85097206","1.898314","1.91436803","2.38708901","2.54828691","2.27022862","2.41600895","2.23100758","2.45359564","2.14748693","1.77042186","2.2286067","",
"Bhutan","BTN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.13867903","4.60037947","3.95161104","3.83481455","4.26397753","3.83308983","4.08523893","3.83774948","3.14842224","3.29665017","3.25758624","3.02062726","3.25988412","3.34862685","3.23226452","3.43653083","3.27756715","3.11215067","3.06896734","3.37511158","4.08451509","4.78581429","3.91757464","4.41551638","",
